Name,Price,Discounted_price,Rating,Link
Fogg Scent Impressio Eau de Parfum  -  100 ml,Rs500,Rs338,4.2,/fogg-scent-impressio-eau-de-parfum-100-ml/p/itmf96jec24hfqv6?pid=PEREGESFPY3H4AFQ&lid=LSTPEREGESFPY3H4AFQKVT0WR&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREGESFPY3H4AFQ.SEARCH&ssid=h7it48bcv40000001586874558138
Paco Rabanne Invictus Eau de Toilette  -  150 ml,Rs7,600,Rs6,817,4.2,/paco-rabanne-invictus-eau-de-toilette-150-ml/p/itmf3wjycfhcff9g?pid=PERDW3YRQKVZHSB4&lid=LSTPERDW3YRQKVZHSB4VTQ0FQ&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERDW3YRQKVZHSB4.SEARCH&ssid=h7it48bcv40000001586874558138
Fogg Scent XPRESSIO Eau de Parfum  -  100 ml,Rs500,Rs338,4.2,/fogg-scent-xpressio-eau-de-parfum-100-ml/p/itmf96jecfbuhutk?pid=PEREGESFRHRE4FQA&lid=LSTPEREGESFRHRE4FQA99WB4D&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREGESFRHRE4FQA.SEARCH&ssid=h7it48bcv40000001586874558138
Wild Stone Edge Perfume Eau de Parfum  -  50 ml,Rs399,Rs258,4.2,/wild-stone-edge-perfume-eau-de-parfum-50-ml/p/itmfbuwj3jjhdrzh?pid=PERFBRVZZMSDYUFP&lid=LSTPERFBRVZZMSDYUFPBUQ7RG&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFBRVZZMSDYUFP.SEARCH&ssid=h7it48bcv40000001586874558138
Fogg Scent XTREMO Eau de Parfum  -  100 ml,Rs500,Rs333,4.2,/fogg-scent-xtremo-eau-de-parfum-100-ml/p/itmf3wjfre7mb3eh?pid=PEREF3FZTMQVE4YZ&lid=LSTPEREF3FZTMQVE4YZTKPLRP&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREF3FZTMQVE4YZ.SEARCH&ssid=h7it48bcv40000001586874558138
Jaguar Classic Black Eau de Toilette  -  100 ml,Rs3,300,Rs1,145,4.1,/jaguar-classic-black-eau-de-toilette-100-ml/p/itmf3wj2fgvfpeje?pid=PERD8AYKYPQHGWWK&lid=LSTPERD8AYKYPQHGWWKI6XQEW&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERD8AYKYPQHGWWK.SEARCH&ssid=h7it48bcv40000001586874558138
Envy Men Perfume Eau de Parfum  -  30 ml,Rs145,Rs101,4.2,/envy-men-perfume-eau-de-parfum-30-ml/p/itmf3wgvuj4vgxth?pid=PEREUF6ZCXXRMJAZ&lid=LSTPEREUF6ZCXXRMJAZHKLM1M&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREUF6ZCXXRMJAZ.SEARCH&ssid=h7it48bcv40000001586874558138
Ustraa Cologne Spray - Ammunition Perfume  -  100 ml,Rs650,Rs604,4.1,/ustraa-cologne-spray-ammunition-perfume-100-ml/p/itmf3v9rjjwtajba?pid=DEOF2ARC9WZGEKFN&lid=LSTDEOF2ARC9WZGEKFNFYPDX8&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.DEOF2ARC9WZGEKFN.SEARCH&ssid=h7it48bcv40000001586874558138
Wild Stone Uitra Sensual Eau de Parfum  -  50 ml,Rs399,Rs266,4.1,/wild-stone-uitra-sensual-eau-de-parfum-50-ml/p/itmf3wgvmgzh8qwh?pid=PERFFKWHWM3CVS84&lid=LSTPERFFKWHWM3CVS84D3MZ4P&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFFKWHWM3CVS84.SEARCH&ssid=h7it48bcv40000001586874558138
Ustraa Cologne Spray - Scuba (100 ml) Perfume  -  100 m...,Rs650,Rs604,4.3,/ustraa-cologne-spray-scuba-100-ml-perfume-100-ml/p/itm97b7aa06f0997?pid=PERFNSY4KGHVJSFZ&lid=LSTPERFNSY4KGHVJSFZ3HSHOB&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFNSY4KGHVJSFZ.SEARCH&ssid=h7it48bcv40000001586874558138
Denver Perfume Hamilton 100 Ml Eau de Parfum  -  100 ml,Rs499,Rs333,4.2,/denver-perfume-hamilton-100-ml-eau-de-parfum/p/itmf3wgvqhpzqb3d?pid=PEREHFZFWWKVHQHT&lid=LSTPEREHFZFWWKVHQHTLTGJM9&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREHFZFWWKVHQHT.SEARCH&ssid=h7it48bcv40000001586874558138
Ustraa Cologne Spray - Tattoo (100 ml) Perfume  -  100 ...,Rs650,Rs604,4.4,/ustraa-cologne-spray-tattoo-100-ml-perfume-100-ml/p/itmaa5378881124e?pid=PERFNSZFYMP8CNRN&lid=LSTPERFNSZFYMP8CNRN6VUXSG&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFNSZFYMP8CNRN.SEARCH&ssid=h7it48bcv40000001586874558138
Park Avenue Long Lasting Body Fragrance-Marcus Perfume ...,Rs199,Rs138,4.1,/park-avenue-long-lasting-body-fragrance-marcus-perfume-150-ml/p/itmf3wgv26wq884c?pid=PEREWM52HZNF2CQM&lid=LSTPEREWM52HZNF2CQM7JUNSX&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREWM52HZNF2CQM.SEARCH&ssid=h7it48bcv40000001586874558138
Wild Stone Ultra Sensual Perfume  -  50 ml,Rs399,Rs266,4.1,/wild-stone-ultra-sensual-perfume-50-ml/p/itmf3wgyyqc93tux?pid=PEREU347HF93PTZV&lid=LSTPEREU347HF93PTZVMUD1QI&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREU347HF93PTZV.SEARCH&ssid=h7it48bcv40000001586874558138
Wild Stone Hydra Energy Eau de Parfum  -  50 ml,Rs399,Rs252,4.1,/wild-stone-hydra-energy-eau-de-parfum-50-ml/p/itmf3wj2jrcevdgd?pid=PERD9Z8RA2UGYGDW&lid=LSTPERD9Z8RA2UGYGDWEVMREK&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERD9Z8RA2UGYGDW.SEARCH&ssid=h7it48bcv40000001586874558138
Beardo Dark Side Perfume for Men Eau de Parfum  -  100 ...,Rs1,500,Rs1,120,4.1,/beardo-dark-side-perfume-men-eau-de-parfum-100-ml/p/itm12f45c6e241bb?pid=PERFK7BAN7AZ2W9H&lid=LSTPERFK7BAN7AZ2W9HBWSUKQ&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFK7BAN7AZ2W9H.SEARCH&ssid=h7it48bcv40000001586874558138
AGN Tulip Perfume - 150 ml (For Men & Women) LONG LASTI...,Rs299,Rs230,4.2,/agn-tulip-perfume-150-ml-for-men-women-long-lasting-eau-de-parfum/p/itmf5y6rdv44as32?pid=PERF5Y42ZZMSHV3N&lid=LSTPERF5Y42ZZMSHV3NOSDZR3&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERF5Y42ZZMSHV3N.SEARCH&ssid=h7it48bcv40000001586874558138
Engage Men XX2 & XX3 Cologne Spray (2 x 135ml) Eau de C...,Rs500,Rs334,4.3,/engage-men-xx2-xx3-cologne-spray-2-x-135ml-eau-de-270-ml/p/itmfe35yet2qhhsc?pid=PERFEYTBGSBHQ2KH&lid=LSTPERFEYTBGSBHQ2KHXIJT2U&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFEYTBGSBHQ2KH.SEARCH&ssid=h7it48bcv40000001586874558138
Denver Original Perfume Eau de Parfum  -  60 ml,Rs249,Rs179,4.1,/denver-original-perfume-eau-de-parfum-60-ml/p/itmf3wj3e3z2rzyn?pid=PERFYQ5TY7B2JGCH&lid=LSTPERFYQ5TY7B2JGCHWTR2MG&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFYQ5TY7B2JGCH.SEARCH&ssid=h7it48bcv40000001586874558138
PATEL NECK Perfume  -  50 ml,Rs,Rs360,4.6,/patel-neck-perfume-50-ml/p/itmfabhhvztphcbc?pid=PERFABD4HKHZKFD8&lid=LSTPERFABD4HKHZKFD81UBEYE&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFABD4HKHZKFD8.SEARCH&ssid=h7it48bcv40000001586874558138
Jaguar Classic Blue Eau de Toilette  -  100 ml,Rs3,300,Rs1,145,4,/jaguar-classic-blue-eau-de-toilette-100-ml/p/itmf3wgvgjadgst5?pid=PERDN2GZJMGZNZHU&lid=LSTPERDN2GZJMGZNZHUTSGFPD&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERDN2GZJMGZNZHU.SEARCH&ssid=h7it48bcv40000001586874558138
AXE Signature Gold Iced Vetiver & Fresh Lavender Eau de...,Rs450,Rs359,4.1,/axe-signature-gold-iced-vetiver-fresh-lavender-eau-de-toilette-80-ml/p/itmf3wgyzgvavhcz?pid=PEREMK3TR8XJZSTX&lid=LSTPEREMK3TR8XJZSTXKQPTU2&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREMK3TR8XJZSTX.SEARCH&ssid=h7it48bcv40000001586874558138
Wild Stone RED Eau de Parfum  -  100 ml,Rs999,Rs639,3.9,/wild-stone-red-eau-de-parfum-100-ml/p/itmf3wgvtbdthh8h?pid=PEREKDYZPY49Y3DC&lid=LSTPEREKDYZPY49Y3DCEXFEHC&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREKDYZPY49Y3DC.SEARCH&ssid=h7it48bcv40000001586874558138
One8 By Virat Kohli Blends Eau de toilette - Blanc Eau ...,Rs595,Rs385,4.2,/one8-virat-kohli-blends-eau-de-toilette-blanc-110-ml/p/itm055b8991f8ec8?pid=PERFMTHRU7KPUTK4&lid=LSTPERFMTHRU7KPUTK40RQPEP&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFMTHRU7KPUTK4.SEARCH&ssid=h7it48bcv40000001586874558138
Park Avenue Long Lasting Body Fragrance-Alexander Perfu...,Rs199,Rs138,4.1,/park-avenue-long-lasting-body-fragrance-alexander-perfume-150-ml/p/itmf3wgv5agahbh9?pid=PEREWM52YKAGGQFS&lid=LSTPEREWM52YKAGGQFSQVAQ3H&marketplace=FLIPKART&srno=b_1_25&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREWM52YKAGGQFS.SEARCH&ssid=h7it48bcv40000001586874558138
AXE Signature Gold Dark Vanilla & Oud Wood Eau de Toile...,Rs450,Rs291,4.1,/axe-signature-gold-dark-vanilla-oud-wood-eau-de-toilette-80-ml/p/itmf3wgynj58edhh?pid=PEREMK3TEHYCVGBW&lid=LSTPEREMK3TEHYCVGBWCE2BNW&marketplace=FLIPKART&srno=b_1_26&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREMK3TEHYCVGBW.SEARCH&ssid=h7it48bcv40000001586874558138
Denver Black Code Perfume Eau de Parfum  -  60 ml,Rs249,Rs179,4.2,/denver-black-code-perfume-eau-de-parfum-60-ml/p/itmf3wj3gfkgxy3d?pid=PERFYQ3NNYEYYUKF&lid=LSTPERFYQ3NNYEYYUKF0LBCT4&marketplace=FLIPKART&srno=b_1_27&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFYQ3NNYEYYUKF.SEARCH&ssid=h7it48bcv40000001586874558138
AXE Signature Gold Black Musk & Cedar Wood Perfume Eau ...,Rs450,Rs359,4.1,/axe-signature-gold-black-musk-cedar-wood-perfume-eau-de-toilette-80-ml/p/itmf3wgyt2nqnkpt?pid=PEREMK3TYMACQGCH&lid=LSTPEREMK3TYMACQGCHRD00LR&marketplace=FLIPKART&srno=b_1_28&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREMK3TYMACQGCH.SEARCH&ssid=h7it48bcv40000001586874558138
Skinn by Titan Mens Raw Eau de Parfum  -  100 ml,Rs2,195,Rs1,760,4.3,/skinn-titan-mens-raw-eau-de-parfum-100-ml/p/itmf3wgxzsgfh4ju?pid=PERER27NNDJYEXZQ&lid=LSTPERER27NNDJYEXZQPKAJG4&marketplace=FLIPKART&srno=b_1_29&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERER27NNDJYEXZQ.SEARCH&ssid=h7it48bcv40000001586874558138
Armaf Club De Nuit Intense 3.6 Oz Eau De Tolette Spray ...,Rs1,999,Rs1,620,4.1,/armaf-club-de-nuit-intense-3-6-oz-eau-tolette-spray-parfum-100-ml/p/itmf3wgz8pumedpf?pid=PEREVUPYPGZYNGYU&lid=LSTPEREVUPYPGZYNGYUS1DJLT&marketplace=FLIPKART&srno=b_1_30&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREVUPYPGZYNGYU.SEARCH&ssid=h7it48bcv40000001586874558138
Skinn by Titan extreme Eau de Parfum  -  100 ml,Rs2,195,Rs1,310,4.1,/skinn-titan-extreme-eau-de-parfum-100-ml/p/itmf3wgx9z3rhwsv?pid=PERER27NVTAB7ABY&lid=LSTPERER27NVTAB7ABYQCRE1T&marketplace=FLIPKART&srno=b_1_31&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERER27NVTAB7ABY.SEARCH&ssid=h7it48bcv40000001586874558138
Denver Hamilton Perfume Eau de Parfum  -  60 ml,Rs299,Rs214,4.2,/denver-hamilton-perfume-eau-de-parfum-60-ml/p/itmf3wj3wqbwwndm?pid=PERFYQ37CMVXUWKK&lid=LSTPERFYQ37CMVXUWKKPC2J6C&marketplace=FLIPKART&srno=b_1_32&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFYQ37CMVXUWKK.SEARCH&ssid=h7it48bcv40000001586874558138
Park Avenue 4X icon more Perfume Perfume  -  150 ml,Rs240,Rs167,4.1,/park-avenue-4x-icon-more-perfume-150-ml/p/itmf3wgvksup4wgz?pid=PERESSGV3D38VBHJ&lid=LSTPERESSGV3D38VBHJ7RSUDC&marketplace=FLIPKART&srno=b_1_33&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERESSGV3D38VBHJ.SEARCH&ssid=h7it48bcv40000001586874558138
Jovan White Musk Eau de Cologne  -  88 ml,Rs749,Rs484,4,/jovan-white-musk-eau-de-cologne-88-ml/p/itmf3wgyxyzetucd?pid=PERD8E6DHDFDT4CQ&lid=LSTPERD8E6DHDFDT4CQJ5OEQ2&marketplace=FLIPKART&srno=b_1_34&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERD8E6DHDFDT4CQ.SEARCH&ssid=h7it48bcv40000001586874558138
Skinn by Titan Verge & Raw Eau de Parfum  -  50 ml,Rs1,695,Rs1,349,4.6,/skinn-titan-verge-raw-eau-de-parfum-50-ml/p/itmdd2c1be4e24b3?pid=PERFKJBESFSUBBGX&lid=LSTPERFKJBESFSUBBGXIRJ2IP&marketplace=FLIPKART&srno=b_1_35&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFKJBESFSUBBGX.SEARCH&ssid=h7it48bcv40000001586874558138
Tommy Hilfiger For Men Eau de Toilette  -  50 ml,Rs2,800,Rs1,392,4.2,/tommy-hilfiger-men-eau-de-toilette-50-ml/p/itmf3wgv4utthzke?pid=PERF3Y94YN4HZUWQ&lid=LSTPERF3Y94YN4HZUWQPMGAQF&marketplace=FLIPKART&srno=b_1_36&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERF3Y94YN4HZUWQ.SEARCH&ssid=h7it48bcv40000001586874558138
Riya Melody Perfume 100ML Eau de Parfum  -  100 ml,Rs285,Rs190,4.2,/riya-melody-perfume-100ml-eau-de-parfum-100-ml/p/itmf8ef6qzvfdyuj?pid=PERF8DMY2HGUTV9C&lid=LSTPERF8DMY2HGUTV9CW5CZCT&marketplace=FLIPKART&srno=b_1_37&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERF8DMY2HGUTV9C.SEARCH&ssid=h7it48bcv40000001586874558138
Armaf Club De Nuit Intense Mens Perfume Eau de Parfum  ...,Rs2,100,Rs1,630,4.1,/armaf-club-de-nuit-intense-mens-perfume-eau-parfum-105-ml/p/itmc245baa54afdb?pid=PERFGS3PFUWVPYHF&lid=LSTPERFGS3PFUWVPYHFOZUW57&marketplace=FLIPKART&srno=b_1_38&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFGS3PFUWVPYHF.SEARCH&ssid=h7it48bcv40000001586874558138
OPP Magnet Handkerchief Eau de Parfum  -  100 ml,Rs240,Rs225,4.2,/opp-magnet-handkerchief-eau-de-parfum-100-ml/p/itmf3wgvq8vksmhk?pid=PERF35WSXMDNQZT2&lid=LSTPERF35WSXMDNQZT2DE6UML&marketplace=FLIPKART&srno=b_1_39&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERF35WSXMDNQZT2.SEARCH&ssid=h7it48bcv40000001586874558138
Skinn by Titan Verge - Single Pack Eau de Parfum  -  20...,Rs545,Rs525,4.2,/skinn-titan-verge-single-pack-eau-de-parfum-20-ml/p/itmf3wgxc34c77cr?pid=PERESHW8CCEV7JGD&lid=LSTPERESHW8CCEV7JGDLSVKYY&marketplace=FLIPKART&srno=b_1_40&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERESHW8CCEV7JGD.SEARCH&ssid=h7it48bcv40000001586874558138
